index,accuracy,inference_time,category_name,score,model,device
1,1.0,0.06067204475402832,sea snake,0.8756515383720398,Swin S,cuda
2,0.5,0.018676042556762695,ski,0.7869882583618164,Swin S,cuda
3,0.6666666666666666,0.014993429183959961,Shetland sheepdog,0.7995504140853882,Swin S,cuda
4,0.75,0.014877080917358398,soup bowl,0.9140006899833679,Swin S,cuda
5,0.6,0.014876842498779297,crib,0.7455055117607117,Swin S,cuda
6,0.5,0.014806032180786133,night snake,0.31629320979118347,Swin S,cuda
7,0.5714285714285714,0.015017986297607422,porcupine,0.9039629697799683,Swin S,cuda
8,0.625,0.015021324157714844,bakery,0.9242883324623108,Swin S,cuda
9,0.6666666666666666,0.024707794189453125,mousetrap,0.933735728263855,Swin S,cuda
10,0.6,0.030889511108398438,Maltese dog,0.45710310339927673,Swin S,cuda
11,0.6363636363636364,0.031210660934448242,brain coral,0.9047764539718628,Swin S,cuda
12,0.6666666666666666,0.03054666519165039,cougar,0.92581707239151,Swin S,cuda
13,0.6923076923076923,0.030496835708618164,guenon,0.8623634576797485,Swin S,cuda
14,0.7142857142857143,0.030955076217651367,recreational vehicle,0.9183396100997925,Swin S,cuda
15,0.7333333333333333,0.03180503845214844,harvester,0.8759249448776245,Swin S,cuda
16,0.75,0.03050684928894043,grey whale,0.9276412725448608,Swin S,cuda
17,0.7058823529411765,0.031005144119262695,starfish,0.8100102543830872,Swin S,cuda
18,0.7222222222222222,0.03152203559875488,vulture,0.8180826306343079,Swin S,cuda
19,0.7368421052631579,0.031046152114868164,carton,0.9557666182518005,Swin S,cuda
20,0.75,0.031047344207763672,crane,0.8909255266189575,Swin S,cuda
21,0.7619047619047619,0.03133130073547363,porcupine,0.8932408690452576,Swin S,cuda
22,0.7727272727272727,0.031029224395751953,Ibizan hound,0.5629715919494629,Swin S,cuda
23,0.782608695652174,0.03266310691833496,Granny Smith,0.9442253112792969,Swin S,cuda
24,0.7916666666666666,0.03103160858154297,planetarium,0.9222279191017151,Swin S,cuda
25,0.8,0.0312802791595459,vulture,0.8075541853904724,Swin S,cuda
26,0.8076923076923077,0.031331777572631836,table lamp,0.8863681554794312,Swin S,cuda
27,0.8148148148148148,0.03104424476623535,white wolf,0.8874874711036682,Swin S,cuda
28,0.7857142857142857,0.03115701675415039,Walker hound,0.6476378440856934,Swin S,cuda
29,0.7931034482758621,0.031299591064453125,green snake,0.8525445461273193,Swin S,cuda
30,0.8,0.0309903621673584,tile roof,0.8150702714920044,Swin S,cuda
31,0.8064516129032258,0.03152203559875488,cabbage butterfly,0.9298104047775269,Swin S,cuda
32,0.8125,0.030969858169555664,go-kart,0.875994861125946,Swin S,cuda
33,0.8181818181818182,0.031095504760742188,sea lion,0.6880514621734619,Swin S,cuda
34,0.8235294117647058,0.030616044998168945,ballplayer,0.9456102848052979,Swin S,cuda
35,0.8285714285714286,0.03374361991882324,half track,0.9348973035812378,Swin S,cuda
36,0.8333333333333334,0.03111577033996582,vestment,0.9368359446525574,Swin S,cuda
37,0.8108108108108109,0.031193971633911133,common newt,0.8799301385879517,Swin S,cuda
38,0.8157894736842105,0.03132319450378418,abacus,0.904730498790741,Swin S,cuda
39,0.8205128205128205,0.031998395919799805,scabbard,0.30736684799194336,Swin S,cuda
40,0.825,0.031542301177978516,garden spider,0.9264987707138062,Swin S,cuda
41,0.8048780487804879,0.03138542175292969,bassinet,0.8558215498924255,Swin S,cuda
42,0.8095238095238095,0.03147459030151367,rain barrel,0.9035717248916626,Swin S,cuda
43,0.813953488372093,0.031209707260131836,spoonbill,0.8511288166046143,Swin S,cuda
44,0.8181818181818182,0.03130459785461426,standard schnauzer,0.8515315055847168,Swin S,cuda
45,0.8222222222222222,0.031232357025146484,Newfoundland,0.9567447900772095,Swin S,cuda
46,0.8260869565217391,0.03119659423828125,pitcher,0.7087450623512268,Swin S,cuda
47,0.8297872340425532,0.03134727478027344,freight car,0.8872885704040527,Swin S,cuda
48,0.8125,0.031102657318115234,Walker hound,0.6793605089187622,Swin S,cuda
49,0.8163265306122449,0.031157732009887695,pickup,0.8479387760162354,Swin S,cuda
50,0.8,0.03128933906555176,butcher shop,0.8399800658226013,Swin S,cuda
